,mean,date
453479.0,15275.966100817104,2011-07-01
453491.0,15555.517403727144,2011-07-01
453493.0,15443.297952835406,2011-07-01
453495.0,15419.057834398049,2011-07-01
453497.0,15394.048207862596,2011-07-01
453499.0,15286.734197400598,2011-07-01
453801.0,15575.38227871258,2011-07-01
453803.0,15484.86172087749,2011-07-01
453805.0,15264.233741061022,2011-07-01
453807.0,15129.551700367289,2011-07-01
453809.0,14996.494440654094,2011-07-01
454061.0,15378.560088863733,2011-07-01
454063.0,15221.12200561953,2011-07-01
454065.0,15301.506037155972,2011-07-01
454067.0,15144.46491337512,2011-07-01
454069.0,15146.113496804746,2011-07-01
452100.0,15010.231531001667,2011-07-01
452300.0,15091.049239161908,2011-07-01
453141.0,15110.243499556862,2011-07-01
453143.0,15112.924709883824,2011-07-01
453145.0,15193.426362692066,2011-07-01
453147.0,15300.58048127737,2011-07-01
453149.0,15263.74825891295,2011-07-01
453210.0,15183.302628202731,2011-07-01
453230.0,15277.491023748506,2011-07-01
453250.0,15194.569922685889,2011-07-01
453270.0,15254.830197579064,2011-07-01
453291.0,15381.704172448504,2011-07-01
453293.0,15388.638698410074,2011-07-01
453295.0,15246.55225004661,2011-07-01
453297.0,15291.689834281477,2011-07-01
453299.0,15245.030518747804,2011-07-01
453410.0,15162.570724167635,2011-07-01
453430.0,15148.226220351038,2011-07-01
453450.0,15204.51937926216,2011-07-01
453461.0,15196.592471084468,2011-07-01
453463.0,15071.504644391724,2011-07-01
453478.0,15514.056716719047,2011-07-01
453481.0,15203.276760854193,2011-07-01
453483.0,15372.117948717952,2011-07-01
453485.0,15353.04969217764,2011-07-01
453492.0,15473.27780497756,2011-07-01
453494.0,15316.545023269107,2011-07-01
453487.0,15441.540912115406,2011-07-01
453489.0,15246.382892959586,2011-07-01
453496.0,15266.43674728162,2011-07-01
453498.0,15307.719640874171,2011-07-01
453806.0,15132.836971930245,2011-07-01
453808.0,15008.576023891992,2011-07-01
454062.0,15291.68072631524,2011-07-01
454064.0,15162.430923431448,2011-07-01
454066.0,15212.410649350952,2011-07-01
454068.0,15110.928675098285,2011-07-01
452411.0,15077.343490081092,2011-07-01
452413.0,15024.335503849095,2011-07-01
452415.0,15070.021068490929,2011-07-01
452417.0,15124.408411589997,2011-07-01
452419.0,15087.562025747033,2011-07-01
452431.0,15325.603956449226,2011-07-01
452433.0,15135.988941277812,2011-07-01
452435.0,15370.417039404065,2011-07-01
452437.0,15241.300057189932,2011-07-01
453146.0,15323.849682694585,2011-07-01
453148.0,15251.1866636139,2011-07-01
453240.0,15173.996742999763,2011-07-01
453260.0,15107.838562403802,2011-07-01
453280.0,15132.614506919905,2011-07-01
453292.0,15166.641871995533,2011-07-01
453294.0,15252.030837601613,2011-07-01
453296.0,15233.61984183725,2011-07-01
453298.0,15288.060018512017,2011-07-01
453464.0,15183.28716376144,2011-07-01
453482.0,15418.39844089289,2011-07-01
453484.0,15397.485682605746,2011-07-01
453486.0,15314.528661956943,2011-07-01
453488.0,15300.67406067616,2011-07-01
452438.0,15200.066988904058,2011-07-01
453471.0,15066.265781635975,2011-08-01
453473.0,15010.617854423264,2011-08-01
453475.0,14996.598769670549,2011-08-01
453477.0,14981.691534191785,2011-08-01
453479.0,14971.895698949116,2011-08-01
453491.0,15069.479578699176,2011-08-01
453493.0,15088.057934670913,2011-08-01
453495.0,15370.281472669809,2011-08-01
453497.0,15185.236701478225,2011-08-01
453499.0,15215.584977199796,2011-08-01
453801.0,15561.263527191417,2011-08-01
453803.0,15482.519048618216,2011-08-01
453805.0,15386.674881795305,2011-08-01
453807.0,15297.588570301195,2011-08-01
453809.0,15010.96401849971,2011-08-01
454061.0,15047.417083478062,2011-08-01
454063.0,15053.792120402404,2011-08-01
454065.0,15157.649609578588,2011-08-01
454067.0,15119.65132287554,2011-08-01
454069.0,15113.232749510104,2011-08-01
452100.0,15143.051355694284,2011-08-01
452300.0,15052.091326572,2011-08-01
453141.0,15106.971887550202,2011-08-01
453143.0,,2011-08-01
453145.0,15034.993776975494,2011-08-01
453147.0,15108.71044872036,2011-08-01
453149.0,15098.037497824298,2011-08-01
453210.0,15081.16154313749,2011-08-01
453230.0,15034.393273015075,2011-08-01
453250.0,15047.968002635018,2011-08-01
453270.0,15148.257270925946,2011-08-01
453291.0,15168.338194719252,2011-08-01
453293.0,,2011-08-01
453295.0,15054.10966257669,2011-08-01
453297.0,,2011-08-01
453299.0,15154.631106619736,2011-08-01
453410.0,14986.586609339014,2011-08-01
453430.0,15008.131232595848,2011-08-01
453450.0,15028.35870437573,2011-08-01
453461.0,15027.173437201403,2011-08-01
453463.0,14911.39815534757,2011-08-01
453478.0,15184.92496387176,2011-08-01
453481.0,14932.949586074325,2011-08-01
453483.0,15165.419753086422,2011-08-01
453485.0,15021.1387252909,2011-08-01
453492.0,15216.961695886375,2011-08-01
453494.0,15215.379870622744,2011-08-01
453487.0,15056.620689655174,2011-08-01
453489.0,15095.644195662984,2011-08-01
453496.0,15111.069694481022,2011-08-01
453498.0,15262.117698698446,2011-08-01
453806.0,15262.08076305578,2011-08-01
453808.0,15095.044040413084,2011-08-01
454062.0,15039.926768711472,2011-08-01
454064.0,15068.330500461543,2011-08-01
454066.0,15116.0998545643,2011-08-01
454068.0,15134.363505653742,2011-08-01
452411.0,15021.236731033188,2011-08-01
452413.0,15073.939610507205,2011-08-01
452415.0,15021.272689531845,2011-08-01
452417.0,15053.796443361882,2011-08-01
452419.0,15097.03860309999,2011-08-01
452431.0,15148.86821186327,2011-08-01
452433.0,15047.073757700256,2011-08-01
452435.0,15124.998209654705,2011-08-01
452437.0,15108.603976408918,2011-08-01
453146.0,15129.717540316156,2011-08-01
453148.0,15122.39357219011,2011-08-01
453240.0,15019.719309754251,2011-08-01
453260.0,15079.406295418252,2011-08-01
453280.0,15027.381334094982,2011-08-01
453292.0,15077.871746084376,2011-08-01
453294.0,15144.35212525861,2011-08-01
453296.0,15113.775661402737,2011-08-01
453298.0,15142.875560185474,2011-08-01
453464.0,15048.44034752643,2011-08-01
453482.0,15033.514732852347,2011-08-01
453484.0,15084.062073554403,2011-08-01
453486.0,14989.433731366444,2011-08-01
453488.0,15150.546453051242,2011-08-01
452438.0,15090.522541857094,2011-08-01
453471.0,15179.72056399294,2011-09-01
453473.0,15127.905898555451,2011-09-01
453475.0,15118.328957325475,2011-09-01
453477.0,15116.51530106689,2011-09-01
453479.0,15137.61753698098,2011-09-01
453491.0,15174.146694841837,2011-09-01
453493.0,15211.460209615676,2011-09-01
453495.0,15217.705328062788,2011-09-01
453497.0,15128.6134688674,2011-09-01
