JD,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2016,y2018,y2019,y2020,y2021
125.0,259.36,257.86,257.01,256.55,255.54,255.33,254.39,255.12,255.12,255.97,254.42,254.48,257.77,256.92,0.0,256.71,256.22,255.73,257.71,0.0
126.0,259.33,257.86,256.95,256.46,255.49,255.3,254.33,255.09,255.12,255.94,254.42,254.48,257.71,256.89,258.17,256.71,256.18,255.73,257.68,0.0
127.0,259.27,257.86,256.89,256.37,255.46,255.3,254.27,255.06,255.09,255.88,254.42,254.48,257.65,256.89,258.17,256.71,256.12,255.73,0.0,0.0
128.0,259.24,257.83,256.8,256.31,255.39,255.27,254.24,255.03,255.06,255.79,254.39,254.48,257.56,0.0,0.0,256.71,256.09,255.7,257.65,0.0
129.0,259.21,257.8,256.71,256.22,255.36,255.27,254.21,255.03,255.06,255.73,254.39,254.45,257.5,256.83,0.0,256.68,256.06,255.7,257.62,0.0
130.0,259.17,257.77,256.64,256.16,255.3,255.24,254.18,255.0,255.03,255.67,254.36,254.42,257.44,256.8,0.0,256.64,256.03,255.7,257.59,0.0
131.0,259.11,257.74,256.58,256.0,255.18,255.24,254.18,254.97,255.0,255.61,254.36,254.39,257.38,256.77,257.95,256.64,256.0,255.7,257.56,0.0
132.0,259.05,257.71,256.52,256.0,255.18,255.21,254.18,254.94,255.0,255.61,254.33,254.36,257.35,256.74,257.95,256.64,255.97,255.7,257.56,0.0
133.0,259.02,257.68,256.46,255.97,255.15,255.18,254.18,254.91,255.0,255.55,254.3,254.33,257.31,256.71,257.95,256.64,255.94,255.7,257.56,0.0
134.0,258.96,257.65,256.4,255.91,255.12,255.15,254.15,254.88,254.94,255.88,254.24,254.33,257.25,256.64,257.95,256.61,255.91,255.7,257.56,0.0
135.0,258.87,257.62,256.34,255.85,255.06,255.06,254.11,254.82,254.94,255.79,254.21,254.33,257.19,256.58,0.0,256.61,255.88,255.7,257.56,0.0
136.0,258.81,257.65,256.28,255.82,255.03,255.0,254.08,254.88,254.94,255.73,254.18,254.3,257.1,256.52,0.0,256.58,255.85,255.7,257.56,0.0
